Common Name,Distribution,Endangered Species Act Status,NatureServe Global Rank,NatureServe Rounded Global Rank,Scientific Name,Species Group (Fine),View on NatureServe Explorer,_id
Streamside Salamander,"United States: IN (S3), KY (S5), OH (SNR), TN (S2), WV (S1)",Under Review,G4,G4,Ambystoma barbouri,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100100/Ambystoma_barbouri,645ab24495bd22ca2330fb03
Reticulated Flatwoods Salamander,"United States: AL (SX), FL (S1), GA (S1)",Endangered,G2,G2,Ambystoma bishopi,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.802300/Ambystoma_bishopi,645ab24495bd22ca2330fb04
California Tiger Salamander,United States: CA (S2),Endangered; Threatened,G2G3,G2,Ambystoma californiense,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104488/Ambystoma_californiense,645ab24495bd22ca2330fb05
Frosted Flatwoods Salamander,"United States: FL (S1), GA (S1), SC (S1)",Threatened,G2,G2,Ambystoma cingulatum,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.802301/Ambystoma_cingulatum,645ab24495bd22ca2330fb06
Wyoming Toad,United States: WY (S1),Endangered,G1,G1,Anaxyrus baxteri,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101600/Anaxyrus_baxteri,645ab24495bd22ca2330fb07
Arroyo Toad,United States: CA (S2),Endangered,G2G3,G2,Anaxyrus californicus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106312/Anaxyrus_californicus,645ab24495bd22ca2330fb08
Yosemite Toad,United States: CA (S2),Threatened,G2G3,G2,Anaxyrus canorus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105396/Anaxyrus_canorus,645ab24495bd22ca2330fb09
Houston Toad,United States: TX (S1),Endangered,G1,G1,Anaxyrus houstonensis,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103748/Anaxyrus_houstonensis,645ab24495bd22ca2330fb0a
Arizona Toad,"United States: AZ (S3), NM (S3), NV (S2), UT (S3)",Under Review,G3G4,G3,Anaxyrus microscaphus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105766/Anaxyrus_microscaphus,645ab24495bd22ca2330fb0b
Dixie Valley Toad,United States: NV (S1),Endangered,G1,G1,Anaxyrus williamsi,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106026/Anaxyrus_williamsi,645ab24495bd22ca2330fb0c
Relictual Slender Salamander,United States: CA (S1),Proposed endangered,G1,G1,Batrachoseps relictus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.889920/Batrachoseps_relictus,645ab24495bd22ca2330fb0d
Kern Canyon Slender Salamander,United States: CA (S2),Proposed threatened,G2G3,G2,Batrachoseps simatus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.894174/Batrachoseps_simatus,645ab24495bd22ca2330fb0e
Cumberland Dusky Salamander,United States: TN (S2),Under Review,G2G3,G2,Desmognathus abditus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.681169/Desmognathus_abditus,645ab24495bd22ca2330fb0f
Seepage Salamander,"United States: AL (S2), GA (S3), NC (S3), SC (SU), TN (S2)",Under Review,G3G4,G3,Desmognathus aeneus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100247/Desmognathus_aeneus,645ab24495bd22ca2330fb10
Pine Barrens Treefrog,"United States: AL (S2), FL (S3), NC (S2), NJ (S2), SC (S2)",Delisted,G4,G4,Dryophytes andersonii,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102258/Dryophytes_andersonii,645ab24495bd22ca2330fb11
"Chamberlain's Dwarf Salamander","United States: NC (S4), SC (S3)",Under Review,G4,G4,Eurycea chamberlaini,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101323/Eurycea_chamberlaini,645ab24495bd22ca2330fb12
Salado Salamander,United States: TX (S1),Threatened,G1,G1,Eurycea chisholmensis,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103095/Eurycea_chisholmensis,645ab24495bd22ca2330fb13
Cascade Caverns Salamander,United States: TX (S2),Under Review,G3,G3,Eurycea latitans,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1128646/Eurycea_latitans,645ab24495bd22ca2330fb14
San Marcos Salamander,United States: TX (S1),Threatened,G1,G1,Eurycea nana,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106379/Eurycea_nana,645ab24495bd22ca2330fb15
Georgetown Salamander,United States: TX (S1),Threatened,G1,G1,Eurycea naufragia,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105895/Eurycea_naufragia,645ab24495bd22ca2330fb16
Texas Salamander,United States: TX (S1),Under Review,G1G2,G1,Eurycea neotenes,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105042/Eurycea_neotenes,645ab24495bd22ca2330fb17
Texas Blind Salamander,United States: TX (S1),Endangered,G1,G1,Eurycea rathbuni,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103877/Eurycea_rathbuni,645ab24495bd22ca2330fb18
Barton Springs Salamander,United States: TX (S1),Endangered,G1,G1,Eurycea sosorum,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104730/Eurycea_sosorum,645ab24495bd22ca2330fb19
Jollyville Plateau Salamander,United States: TX (S2),Threatened,G2,G2,Eurycea tonkawae,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102602/Eurycea_tonkawae,645ab24495bd22ca2330fb1a
Georgia Blind Salamander,"United States: FL (S2), GA (S1)",Under Review,G2,G2,Eurycea wallacei,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101825/Eurycea_wallacei,645ab24495bd22ca2330fb1b
Austin Blind Salamander,United States: TX (S1),Endangered,G1,G1,Eurycea waterlooensis,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102183/Eurycea_waterlooensis,645ab24495bd22ca2330fb1c
Tennessee Cave Salamander,"United States: AL (S2), GA (S1), TN (S2)",Under Review,G2G3,G2,Gyrinophilus palleucus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100081/Gyrinophilus_palleucus,645ab24495bd22ca2330fb1d
West Virginia Salamander,United States: WV (S1),Under Review,G1,G1,Gyrinophilus subterraneus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101890/Gyrinophilus_subterraneus,645ab24495bd22ca2330fb1e
Limestone Salamander,United States: CA (S2),Under Review,G2G3,G2,Hydromantes brunus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104428/Hydromantes_brunus,645ab24495bd22ca2330fb1f
Gopher Frog,"United States: AL (S2), FL (S3), GA (S2), NC (S2), SC (S1), TN (S1)",Under Review,G2G3,G2,Lithobates capito,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105963/Lithobates_capito,645ab24495bd22ca2330fb20
Chiricahua Leopard Frog,"United States: AZ (S2), NM (S2)",Threatened,G3?,G3,Lithobates chiricahuensis,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105648/Lithobates_chiricahuensis,645ab24495bd22ca2330fb21
Dusky Gopher Frog,"United States: AL (SH), LA (SH), MS (S1)",Endangered,G1,G1,Lithobates sevosus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103781/Lithobates_sevosus,645ab24495bd22ca2330fb22
Black Warrior River Waterdog,United States: AL (S1),Endangered,G1,G1,Necturus alabamensis,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100237/Necturus_alabamensis,645ab24495bd22ca2330fb23
Neuse River Waterdog,United States: NC (S2),Threatened,G2,G2,Necturus lewisi,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100341/Necturus_lewisi,645ab24495bd22ca2330fb24
Black-spotted Newt,United States: TX (S3),Under Review,G3,G3,Notophthalmus meridionalis,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101904/Notophthalmus_meridionalis,645ab24495bd22ca2330fb25
Red Hills Salamander,United States: AL (S2),Threatened,G2,G2,Phaeognathus hubrichti,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103613/Phaeognathus_hubrichti,645ab24495bd22ca2330fb26
Jemez Mountains Salamander,United States: NM (S2),Endangered,G1G2,G1,Plethodon neomexicanus,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101803/Plethodon_neomexicanus,645ab24495bd22ca2330fb27
Cheat Mountain Salamander,United States: WV (S2),Threatened,G1G2,G1,Plethodon nettingi,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101589/Plethodon_nettingi,645ab24495bd22ca2330fb28
Shenandoah Salamander,United States: VA (S1),Endangered,G1,G1,Plethodon shenandoah,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101967/Plethodon_shenandoah,645ab24495bd22ca2330fb29
Illinois Chorus Frog,"United States: AR (S1), IL (S2), MO (S2)",Under Review,G3,G3,Pseudacris illinoensis,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.869802/Pseudacris_illinoensis,645ab24495bd22ca2330fb2a
Cascades Frog,"United States: CA (S3), OR (S3), WA (S3)",Under Review,G3,G3,Rana cascadae,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103017/Rana_cascadae,645ab24495bd22ca2330fb2b
Southern Mountain Yellow-legged Frog,United States: CA (S1),Endangered,G1,G1,Rana muscosa,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.802507/Rana_muscosa,645ab24495bd22ca2330fb2c
Oregon Spotted Frog,"Canada: BC (S1)
United States: CA (SH), OR (S1), WA (S1)",Threatened,G2,G2,Rana pretiosa,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101451/Rana_pretiosa,645ab24495bd22ca2330fb2d
Sierra Nevada Yellow-legged Frog,"United States: CA (S1), NV (SH)",Endangered,G2,G2,Rana sierrae,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.802511/Rana_sierrae,645ab24495bd22ca2330fb2e
Cascade Torrent Salamander,"United States: OR (S3), WA (S3)",Under Review,G3,G3,Rhyacotriton cascadae,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102976/Rhyacotriton_cascadae,645ab24495bd22ca2330fb2f
Columbia Torrent Salamander,"United States: OR (S3), WA (S3)",Under Review,G2G3,G2,Rhyacotriton kezeri,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103633/Rhyacotriton_kezeri,645ab24495bd22ca2330fb30
Western Spadefoot,United States: CA (S3),Under Review,G2G3,G2,Spea hammondii,Amphibians,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100387/Spea_hammondii,645ab24495bd22ca2330fb31
Mariana Swiftlet,United States: HI (SNA),Endangered,G1,G1,Aerodramus bartschi,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101607/Aerodramus_bartschi,645ab24495bd22ca2330fb32
Kauai Akialoa,United States: HI (SX),Endangered; Proposed for delisting,GX,GX,Akialoa stejnegeri,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1216261/Akialoa_stejnegeri,645ab24495bd22ca2330fb33
Mexican Duck,"United States: AZ (S4), NM (SNR), NV (SNA), TX (SNR)",Delisted,G5,G5,Anas diazi,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103691/Anas_diazi,645ab24495bd22ca2330fb34
Laysan Duck,United States: HI (S1),Endangered,G1G2,G1,Anas laysanensis,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101903/Anas_laysanensis,645ab24495bd22ca2330fb35
Hawaiian Duck,United States: HI (S1),Endangered,G2,G2,Anas wyvilliana,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100758/Anas_wyvilliana,645ab24495bd22ca2330fb36
Florida Scrub-Jay,United States: FL (S1),Threatened,G1G2,G1,Aphelocoma coerulescens,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103378/Aphelocoma_coerulescens,645ab24495bd22ca2330fb37
Hawaiian Goose,United States: HI (S1),Threatened,G2,G2,Branta sandvicensis,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106176/Branta_sandvicensis,645ab24495bd22ca2330fb38
Hawaiian Hawk,United States: HI (S3),Delisted,G3,G3,Buteo solitarius,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104065/Buteo_solitarius,645ab24495bd22ca2330fb39
Ivory-billed Woodpecker,"United States: AL (SX), AR (SU), FL (SX), GA (SX), IL (SX), KY (SX), LA (SX), MD (SX), MO (SX), MS (SX), NC (SX), OH (SX), OK (SXB), SC (SX), TN (SX), TX (SX)",Endangered; Proposed for delisting,GX,GX,Campephilus principalis,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102822/Campephilus_principalis,645ab24495bd22ca2330fb3a
Gunnison Sage-Grouse,"United States: CO (S1), OK (SX), UT (S2)",Threatened,G2G3,G2,Centrocercus minimus,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100905/Centrocercus_minimus,645ab24495bd22ca2330fb3b
Piping Plover,"Canada: AB (S2B), MB (S1B), NB (S1B), NF (S1B,SUM), NS (S1B), ON (S1B), PE (S1B), QC (SNA), SK (S3B)
United States: AL (S1N), AR (S1M), CO (S1B), CT (S1B), DE (S1B), FL (S2), GA (S2), IA (S1B), IL (S1), IN (SXB), KS (S1B,S2N), KY (SNA), LA (S2N), MA (S2B), MD (S1B), ME (S2B), MI (S2), MN (S1B), MO (SNA), MS (S2N), MT (S2B), NC (S1B,S1N), ND (S1), NE (S2), NH (S1B), NJ (S1B,S1N), NY (S3B), OH (SX), OK (SNR), PA (S1B,S1M), RI (S1B,S1N), SC (S2N), SD (S3B), TN (S2N), TX (S2N), VA (S2B,S1N), WI (S1B), WY (SNA)",Endangered; Threatened,G3,G3,Charadrius melodus,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106046/Charadrius_melodus,645ab24495bd22ca2330fb3c
"Oahu 'Elepaio",United States: HI (S1),Endangered,G1,G1,Chasiempis ibidis,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102764/Chasiempis_ibidis,645ab24495bd22ca2330fb3d
Hawaiian Crow,United States: HI (SX),Endangered,GXC,GH,Corvus hawaiiensis,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104216/Corvus_hawaiiensis,645ab24495bd22ca2330fb3e
"'I'Iwi",United States: HI (S4),Threatened,G4,G4,Drepanis coccinea,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106167/Drepanis_coccinea,645ab24495bd22ca2330fb3f
Red-cockaded Woodpecker,"United States: AL (S2), AR (S1), FL (S2), GA (S2), KY (SX), LA (S2), MD (SHB), MO (SX), MS (S1), NC (S2), OK (S1B), SC (S2), TN (SX), TX (S2), VA (S1)",Endangered; Proposed threatened,G3,G3,Dryobates borealis,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103433/Dryobates_borealis,645ab24495bd22ca2330fb40
Alae Keokeo,United States: HI (S2),Endangered,G3?,G3,Fulica alai,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101682/Fulica_alai,645ab24495bd22ca2330fb41
Whooping Crane,"Canada: AB (S1B), MB (SXB,S1M), NT (S1), ON (SNA), SK (SXB,S1M)
United States: AL (S1N), AR (SX), FL (SNR), GA (S1), IA (SXB), IL (SX), IN (S1N,S1M), KS (S1N), KY (SNA), LA (SH), MN (SXB,SNRM), MT (S1M), ND (SX), NE (S1), OK (S1M), SC (S1N), SD (S1M), TN (SX), TX (S1N), UT (SXM), WI (SXB)","Endangered; Experimental population, non-essential",G1,G1,Grus americana,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102973/Grus_americana,645ab24495bd22ca2330fb42
California Condor,"Canada: AB (SX)
United States: AZ (SX,S1), CA (S1), OR (SX), WA (SX)","Endangered; Experimental population, non-essential",G1,G1,Gymnogyps californianus,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101273/Gymnogyps_californianus,645ab24495bd22ca2330fb43
Bald Eagle,"Canada: AB (S4B,SUN), BC (S5B,S5N), LB (S4B,SUM), MB (S5B,S3N), NB (S4), NF (S4), NS (S5), NT (S5), NU (SUB), ON (S4), PE (S5), QC (S4), SK (S5B,S5N,S4M), YT (S4B)
United States: AK (S5), AL (S4B), AR (S3B,S4N), AZ (S2,S4N), CA (S3), CO (S3B,S3N), CT (S3B,S3N), DC (S2N,SXB), DE (S2B,S3N), FL (S3), GA (S3), IA (S3B,S3N), ID (S5), IL (S4), IN (S3), KS (S2B,S4N), KY (S3B,S3N), LA (S3), MA (S2B,S3N), MD (S3), ME (S4B,S4N), MI (S4), MN (S3B,S3N), MO (S3), MS (S3B,S2N), MT (S4), NC (S3B,S3N), ND (S1), NE (S3), NH (S2), NJ (S1B,S2N), NM (S1B,S4N), NN (S2N), NV (S2B,S4N), NY (S2B,S2N), OH (S3), OK (S2), OR (S4B,S4N), PA (S4B,S5N,S4M), RI (S1B,S1N), SC (S3B,S3N), SD (S4B,S2N), TN (S3), TX (S3B,S3N), UT (S2B,S4N), VA (S3B,S3N), VT (S1B,S4N), WA (S4B,S4N), WI (S4B,S4N), WV (S3B,S3N), WY (S4B,S5N)",Delisted,G5,G5,Haliaeetus leucocephalus,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104470/Haliaeetus_leucocephalus,645ab24495bd22ca2330fb44
"Maui Nukupu'u",United States: HI (SX),Endangered; Proposed for delisting,GX,GX,Hemignathus affinis,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103720/Hemignathus_affinis,645ab24495bd22ca2330fb45
"Kauai Nukupu'u",United States: HI (SH),Endangered; Proposed for delisting,GX,GX,Hemignathus hanapepe,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100315/Hemignathus_hanapepe,645ab24495bd22ca2330fb46
Akiapolaau,United States: HI (S1),Endangered,G1,G1,Hemignathus wilsoni,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102827/Hemignathus_wilsoni,645ab24495bd22ca2330fb47
Palila,United States: HI (S1),Endangered,G1,G1,Loxioides bailleui,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100896/Loxioides_bailleui,645ab24495bd22ca2330fb48
Akekee,United States: HI (S1),Endangered,G1,G1,Loxops caeruleirostris,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101614/Loxops_caeruleirostris,645ab24495bd22ca2330fb49
`Akepa,United States: HI (S1),Endangered,G1G2,G1,Loxops coccineus,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104701/Loxops_coccineus,645ab24495bd22ca2330fb4a
Hawaii Creeper,United States: HI (S2),Endangered,G2G3,G2,Loxops mana,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103785/Loxops_mana,645ab24495bd22ca2330fb4b
"Maui 'Akepa",United States: HI (SH),Endangered; Proposed for delisting,GH,GH,Loxops ochraceus,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100383/Loxops_ochraceus,645ab24495bd22ca2330fb4c
"Po'Ouli",United States: HI (SX),Endangered; Proposed for delisting,GX,GX,Melamprosops phaeosoma,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102431/Melamprosops_phaeosoma,645ab24495bd22ca2330fb4d
"Kauai 'o'o",United States: HI (SX),Endangered; Proposed for delisting,GX,GX,Moho braccatus,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106541/Moho_braccatus,645ab24495bd22ca2330fb4e
Kamao,United States: HI (SX),Endangered; Proposed for delisting,GX,GX,Myadestes myadestinus,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106065/Myadestes_myadestinus,645ab24495bd22ca2330fb4f
Puaiohi,United States: HI (S1),Endangered,G1,G1,Myadestes palmeri,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103255/Myadestes_palmeri,645ab24495bd22ca2330fb50
Eskimo Curlew,"Canada: AB (SXB), LB (SHM), MB (SXM), NB (SXM), NF (SHM), NS (SXM), NT (SHB), NU (SHB), ON (SXM), PE (SXM), QC (SXB), SK (SXB)
United States: AK (SH), AR (SNA), CO (SX), CT (SHN), IA (SXN), IL (SXN), IN (SXN), KS (SHN), LA (SHN), MA (SX), MD (SXM), ME (SXN), MN (SXM), MO (SNA), ND (SNA), NE (SXN), NJ (SXN), NY (SXN), OH (SNA), OK (SXN), RI (SNA), SC (SX), SD (SX), TX (SHN)",Endangered,GH,GH,Numenius borealis,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100370/Numenius_borealis,645ab24495bd22ca2330fb51
Akikiki,United States: HI (S1),Endangered,G1,G1,Oreomystis bairdi,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100733/Oreomystis_bairdi,645ab24495bd22ca2330fb52
Akohekohe,United States: HI (S1),Endangered,G1,G1,Palmeria dolei,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104015/Palmeria_dolei,645ab24495bd22ca2330fb53
Kakawahie,United States: HI (SX),Endangered; Proposed for delisting,GX,GX,Paroreomyza flammea,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105914/Paroreomyza_flammea,645ab24495bd22ca2330fb54
Oahu Alauahio,United States: HI (SH),Endangered,GH,GH,Paroreomyza maculata,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102860/Paroreomyza_maculata,645ab24495bd22ca2330fb55
Brown Pelican,"Canada: BC (SNRM)
United States: AL (S3), AZ (S1N), CA (SNR), DE (S1N), FL (S3), GA (S2), IL (SNA), LA (S3), MD (S1B), MS (S1N), NC (S3B,S4N), NJ (S4N), NV (S1N), OR (S2N), SC (S1), TX (S3B), VA (S2B,S3N), WA (S3N)",Delisted,G4,G4,Pelecanus occidentalis,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.817986/Pelecanus_occidentalis,645ab24495bd22ca2330fb56
Short-tailed Albatross,"Canada: BC (S1N)
United States: AK (S1N), CA (S1), HI (S1), WA (SNA)",Endangered,G1,G1,Phoebastria albatrus,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103001/Phoebastria_albatrus,645ab24495bd22ca2330fb57
Kiwikiu,United States: HI (S1),Endangered,G1,G1,Pseudonestor xanthophrys,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105354/Pseudonestor_xanthophrys,645ab24495bd22ca2330fb58
"'O'u",United States: HI (SX),Endangered,GX,GX,Psittirostra psittacea,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101290/Psittirostra_psittacea,645ab24495bd22ca2330fb59
Black-capped Petrel,"United States: AL (SNA), FL (SNA), GA (SNRN), NC (S1N), SC (S1N)",Proposed threatened,G1,G1,Pterodroma hasitata,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102546/Pterodroma_hasitata,645ab24495bd22ca2330fb5a
Hawaiian Petrel,United States: HI (S2),Endangered,G1G2,G1,Pterodroma sandwichensis,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100488/Pterodroma_sandwichensis,645ab24495bd22ca2330fb5b
"Newell's Shearwater",United States: HI (S1),Threatened,G1G2Q,G1,Puffinus newelli,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104360/Puffinus_newelli,645ab24495bd22ca2330fb5c
"Ridgway's Rail","United States: AZ (S3), CA (SNR), NV (SNR)",Endangered,G3,G3,Rallus obsoletus,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100535/Rallus_obsoletus,645ab24495bd22ca2330fb5d
Thick-billed Parrot,United States: AZ (SH),Endangered,G1G2,G1,Rhynchopsitta pachyrhyncha,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100639/Rhynchopsitta_pachyrhyncha,645ab24495bd22ca2330fb5e
Golden-cheeked Warbler,United States: TX (S2B),Endangered,G2,G2,Setophaga chrysoparia,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104938/Setophaga_chrysoparia,645ab24495bd22ca2330fb5f
"Kirtland's Warbler","Canada: ON (S1B)
United States: FL (S1), GA (SNRN), IN (SNA), MI (S3), OH (S1N), PA (SNA), SC (S1M), VA (SNA), WI (S1B)",Delisted,G3G4,G3,Setophaga kirtlandii,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102456/Setophaga_kirtlandii,645ab24495bd22ca2330fb60
Spectacled Eider,United States: AK (S2B),Threatened,G4,G4,Somateria fischeri,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100614/Somateria_fischeri,645ab24495bd22ca2330fb61
Laysan Finch,United States: HI (S1),Endangered,G1,G1,Telespiza cantans,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103535/Telespiza_cantans,645ab24495bd22ca2330fb62
Nihoa Finch,United States: HI (S1),Endangered,G1,G1,Telespiza ultima,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102677/Telespiza_ultima,645ab24495bd22ca2330fb63
"Bachman's Warbler","United States: AL (SX), AR (SH), DC (SXB,SXN), FL (SX), GA (SH), IL (SX), KY (SXB), LA (SH), MO (SX), MS (SXB), NC (SXB), OK (SX), SC (SX), TN (SX), VA (SX)",Endangered; Proposed for delisting,GX,GX,Vermivora bachmanii,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106306/Vermivora_bachmanii,645ab24495bd22ca2330fb64
Golden-winged Warbler,"Canada: MB (S2B), ON (S3B), QC (S2B)
United States: AL (SNRM), AR (S2N), CO (SNA), CT (S1B), DC (S3N), DE (SNA), FL (SNA), GA (S1B,S2M), IA (S1N), IL (S1), IN (S1B), KS (SNA), KY (S1B), LA (S2M), MA (S1B), MD (S2B), MI (S5), MN (SNRB), MO (SNA), MS (SNA), NC (S2B), ND (S3), NE (SNRN), NH (S2B), NJ (S1B,S3N), NY (S3B), OH (S1), OK (S3N), PA (S2B,S3M), RI (SXB,S2N), SC (S1B), SD (SNA), TN (S3B), TX (S3), VA (S3B), VT (S3B), WI (S3B), WV (S1B)",Under Review,G4,G4,Vermivora chrysoptera,Birds,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102068/Vermivora_chrysoptera,645ab24495bd22ca2330fb65
