Common Name,Distribution,Endangered Species Act Status,NatureServe Global Rank,NatureServe Rounded Global Rank,Scientific Name,Species Group (Fine),View on NatureServe Explorer,_id
Sturgeon Chub,"United States: AR (SNR), IA (SH), IL (S1), KS (S1), KY (S1), MO (S3), MS (SH), MT (S2), ND (S2), NE (S1), SD (S3), TN (S1), WY (S1)",Under Review,G3,G3,Macrhybopsis gelida,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106309/Macrhybopsis_gelida,645ab24495bd22ca2330fc04
Sicklefin Chub,"United States: AR (S1), IA (S1), IL (S1), KS (S1), KY (S1), MO (S5), MS (S1), MT (S1), ND (S2), NE (S1), SD (S1), TN (S2)",Under Review,G3,G3,Macrhybopsis meeki,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101978/Macrhybopsis_meeki,645ab24495bd22ca2330fc05
Peppered Chub,"United States: CO (SX), KS (S1), NM (S1), OK (SNR), TX (S1)",Endangered,G1,G1,Macrhybopsis tetranema,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103660/Macrhybopsis_tetranema,645ab24495bd22ca2330fc06
Spikedace,"United States: AZ (S1), NM (S1)",Endangered,G2,G2,Meda fulgida,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103103/Meda_fulgida,645ab24495bd22ca2330fc07
Waccamaw Silverside,United States: NC (S1),Threatened,G1,G1,Menidia extensa,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103624/Menidia_extensa,645ab24495bd22ca2330fc08
Moapa Dace,United States: NV (S1),Endangered,G1,G1,Moapa coriacea,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105633/Moapa_coriacea,645ab24495bd22ca2330fc09
Robust Redhorse,"United States: GA (S1), NC (S1), SC (S1)",Under Review,G1,G1,Moxostoma robustum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100557/Moxostoma_robustum,645ab24495bd22ca2330fc0a
Palezone Shiner,"United States: AL (S1), KY (S1), TN (SH)",Endangered,G1,G1,Notropis albizonatus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105904/Notropis_albizonatus,645ab24495bd22ca2330fc0b
Popeye Shiner,"United States: AL (SX), GA (S1), IN (SX), KY (S3), OH (S1), PA (SX), TN (S3), VA (S2), WV (S2)",Under Review,G3,G3,Notropis ariommus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106578/Notropis_ariommus,645ab24495bd22ca2330fc0c
Smalleye Shiner,United States: TX (S1),Endangered,G2,G2,Notropis buccula,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101716/Notropis_buccula,645ab24495bd22ca2330fc0d
